Category,Sub Category,ProductDescription,Barcode,TescoProductID,BaseID,Price (£),Unit Price (£),Unit Of Measure,SpecialOffer,OfferStartDate,OfferEndDate,CurrentlyAvailable,DateScraped,WebLink,Aldi Price Match,Deposit
Fresh Fruit,Apples & Pears,Simplyfruit Apple 80g,05060054680127	,330746352,98582290,0.79,9.88,kg,Any 2 for €1 Clubcard Price - Selected Simplyfruit Products,11/05/2026,27/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/330746352,No,
Finest Fresh Food,Finest Fruit & Vegetables,Tesco Finest Raspberries 150G,00000003318379	,311217430,89979552,2.99,19.93,kg,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/311217430,No,
Fresh Fruit,"Fruit Pots, Platters & Packs",Simplyfruit Fruit Medley 240g ,05060054680172	,315833448,92749443,3.29,13.71,kg,Any 2 for €5 Clubcard Price - Selected Simplyfruit Products,11/05/2026,27/09/2026,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/315833448,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds","Dried Fruit, Nut & Seed Mixes",Tesco Mixed Raisins 200g,05057967014330	,302685493,86173988,2.5,12.5,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/302685493,No,
Fresh Fruit,Apples & Pears,Dole Go Organic Pear 4 Pack,05391537731785	,317532337,93548980,2.99,0.75,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/317532337,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds","Dried Fruit, Nut & Seed Mixes",Sowan's Fruit And Nut Mix 100G,05099809131409	,287248803,78472940,1.5,15.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/287248803,No,
Fresh Fruit,"Mango, Kiwi & Exotic Fruit",Tesco Coconut Each,00000003235737	,278721090,74310424,0.89,0.89,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/278721090,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Organic,Sowan's Organic Walnuts 100G,05099809148711	,310098657,89977637,3.0,30.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/310098657,No,
Fresh Fruit,Melons & Pineapples,Keelings Piel De Sapo Melon,05099400802159	,313011733,91390781,5.99,5.99,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/313011733,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Jomara Khidri Organic Dates 150g,06291107387734	,322822036,97396483,2.99,19.93,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/322822036,No,
